n,c,P,parameter_path,category,available,m,explicit_tail_upper,hybrid_tail_upper,lambda_ref,u_ref,finite_lower,finite_upper,explicit_lower,explicit_upper,explicit_width,explicit_contains_reference,hybrid_lower,hybrid_upper,hybrid_width,hybrid_contains_reference,ordinary_observed_finite_Ritz_error
0,40,108,fixed continuous c,knee,True,12,0.05583937074324793,0.05583937074324793,0.657101627791495,1.5509815654013437e-12,-34.88366403278734,36.19088659587477,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.0034903462477764435
0,40,108,fixed continuous c,tail,True,15,0.05583937074324793,0.05583937074324793,6.336317442596817e-05,1.1102230246251565e-13,-35.528167830202605,35.546382798459504,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009044120954025054
0,80,30,fixed continuous c,deep,True,0,1.7583345460333302,0.3844728605134659,1.000000000000024,6.59472476627343e-13,-19.431321732540496,35.66630417869531,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117491223077384
0,80,30,fixed continuous c,edge,True,20,1.7583345460333302,0.3844728605134659,0.9999999618456109,4.36206626375224e-12,-26.539354665409725,28.558271245826084,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009458328362567214
0,80,30,fixed continuous c,knee,True,25,1.7583345460333302,0.3844728605134659,0.47706684115542153,8.748557434046234e-13,-27.220193759600654,27.877432151635155,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.14844764513817232
0,80,30,fixed continuous c,tail,True,28,1.7583345460333302,0.3844728605134659,8.057958140599884e-05,1.1102230246251565e-13,-27.546366180159822,27.551259731075987,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.0023661958766771777
0,80,33,fixed continuous c,deep,True,0,1.0083987344115795,0.3385241426592855,1.000000000000024,6.59472476627343e-13,-20.02606093082912,36.261043377776076,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.1174912234734515
0,80,33,fixed continuous c,edge,True,20,1.0083987344115795,0.3385241426592855,0.9999999618456109,4.36206626375224e-12,-27.134091433154744,29.15301287545045,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.00946075930224144
0,80,33,fixed continuous c,knee,True,25,1.0083987344115795,0.3385241426592855,0.47706684115542153,8.748557434046234e-13,-27.789747743450825,28.49735656515437,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.12326243030364925
0,80,33,fixed continuous c,tail,True,28,1.0083987344115795,0.3385241426592855,8.057958140599884e-05,1.1102230246251565e-13,-28.141065636538798,28.146038672066396,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.0024059381823916376
0,80,37,fixed continuous c,deep,True,0,0.6597983683504737,0.29634330194289693,1.000000000000024,6.59472476627343e-13,-20.739774839808806,36.97475729710831,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117491228649727
0,80,37,fixed continuous c,edge,True,20,0.6597983683504737,0.29634330194289693,0.9999999618456109,4.36206626375224e-12,-27.84780438362025,29.866727753296864,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009461722992694432
0,80,37,fixed continuous c,knee,True,25,0.6597983683504737,0.29634330194289693,0.47706684115542153,8.748557434046234e-13,-28.482792329260725,29.23173980765639,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.10259310195759036
0,80,37,fixed continuous c,tail,True,28,0.6597983683504737,0.29634330194289693,8.057958140599884e-05,1.1102230246251565e-13,-28.854755636730264,28.85977650018685,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.002429852146886293
0,80,45,fixed continuous c,deep,True,0,0.40534905155607515,0.24168845852345447,1.000000000000024,6.59472476627343e-13,-21.960613659324657,38.195596167144764,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117491253910029
0,80,45,fixed continuous c,edge,True,20,0.40534905155607515,0.24168845852345447,0.9999999618456109,4.36206626375224e-12,-29.06864305022372,31.0875667762457,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009461901165379483
0,80,45,fixed continuous c,knee,True,25,0.40534905155607515,0.24168845852345447,0.47706684115542153,8.748557434046234e-13,-29.67948259836295,30.476727228106473,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.07844452628365917
0,80,45,fixed continuous c,tail,True,28,0.40534905155607515,0.24168845852345447,8.057958140599884e-05,1.1102230246251565e-13,-30.07557339235052,30.0806364341189,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.002450941302785508
0,80,57,fixed continuous c,deep,True,0,0.2665858227146109,0.19304060434102904,1.000000000000024,6.59472476627343e-13,-23.43492308657476,39.66990568835429,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117491300889742
0,80,57,fixed continuous c,edge,True,20,0.2665858227146109,0.19304060434102904,0.9999999618456109,4.36206626375224e-12,-30.54295237119375,32.5618764037353,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009462054425162347
0,80,57,fixed continuous c,knee,True,25,0.2665858227146109,0.19304060434102904,0.47706684115542153,8.748557434046234e-13,-31.134112673844704,31.970716101084342,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.05876512753560187
0,80,57,fixed continuous c,tail,True,28,0.2665858227146109,0.19304060434102904,8.057958140599884e-05,1.1102230246251565e-13,-31.54986945010485,31.554959324824196,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.002464357778266403
0,80,73,fixed continuous c,deep,True,0,0.1877575380259384,0.15503661924730744,1.000000000000024,6.59472476627343e-13,-24.97826720258674,41.21324991205254,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117491354732876
