n,c,parameter_path,P,Boulsane_N,method,wall_median_seconds,wall_Q1_seconds,wall_Q3_seconds,wall_IQR_seconds,CPU_median_seconds,reused_entry_count,matrix_storage_bytes,offset_path
0,40,fixed continuous c,44,45,Boulsane_half_mesh_eigensolve,3.149999974993989e-05,3.1050003599375486e-05,4.0099999750964344e-05,9.049996151588857e-06,0.0,,,half_mesh
0,40,fixed continuous c,44,45,Boulsane_next_zero_assembly,0.007799000006343704,0.0077358000016829465,0.007862099999329075,0.00012629999764612876,0.015625,0,16200,next_zero
0,40,fixed continuous c,44,45,Boulsane_next_zero_eigensolve,3.270000161137432e-05,3.139999898849055e-05,3.420000211917795e-05,2.8000031306874007e-06,0.0,,,next_zero
0,40,fixed continuous c,44,45,Boulsane_left_control_assembly,0.008009400000446476,0.007962350002344465,0.008033050002268283,7.069999992381781e-05,0.015625,0,16200,left_control
0,40,fixed continuous c,44,45,Boulsane_left_control_eigensolve,3.869999636663124e-05,3.764999928534962e-05,3.94000016967766e-05,1.7500024114269763e-06,0.0,,,left_control
0,40,fixed continuous c,44,45,Boulsane_right_control_assembly,0.007818999998562504,0.007747349998680875,0.007841750000807224,9.440000212634914e-05,0.0,0,16200,right_control
0,40,fixed continuous c,44,45,Boulsane_right_control_eigensolve,3.130000550299883e-05,3.074999767704867e-05,3.449999712756835e-05,3.749999450519681e-06,0.0,,,right_control
0,40,fixed continuous c,60,61,project_full_rebuild,0.003017799994267989,0.0029850000028091017,0.0030481999965559226,6.319999374682084e-05,0.0,0,28800,
0,40,fixed continuous c,60,61,project_block_extension,0.0003690000012284145,0.00036750000435858965,0.00037275000067893416,5.249996320344508e-06,0.0,1936,28800,
0,40,fixed continuous c,60,61,project_eigensolve,5.5199998314492404e-05,5.219999729888514e-05,5.6300003052456304e-05,4.100005753571168e-06,0.0,,,
0,40,fixed continuous c,60,61,Boulsane_large_N_assembly,0.014081699999223929,0.014065399998798966,0.015052600003400585,0.0009872000046016183,0.015625,0,29768,large_N
0,40,fixed continuous c,60,61,Boulsane_large_N_eigensolve,5.660000169882551e-05,5.64500005566515e-05,6.0549999034265056e-05,4.099998477613553e-06,0.0,,,large_N
0,40,fixed continuous c,60,61,Boulsane_half_mesh_assembly,0.01407630000176141,0.014039999998203712,0.014145049997750903,0.00010504999954719096,0.015625,0,29768,half_mesh
0,40,fixed continuous c,60,61,Boulsane_half_mesh_eigensolve,5.789999704575166e-05,5.6349999795202166e-05,6.38999990769662e-05,7.5499992817640305e-06,0.0,,,half_mesh
0,40,fixed continuous c,60,61,Boulsane_next_zero_assembly,0.014013899999554269,0.013971849999506958,0.014109199997619726,0.00013734999811276793,0.015625,0,29768,next_zero
0,40,fixed continuous c,60,61,Boulsane_next_zero_eigensolve,5.5000004067551345e-05,5.3949996072333306e-05,5.735000377171673e-05,3.4000076993834227e-06,0.0,,,next_zero
0,40,fixed continuous c,60,61,Boulsane_left_control_assembly,0.014150700000755023,0.01411405000180821,0.014166200002364349,5.2150000556139275e-05,0.015625,0,29768,left_control
0,40,fixed continuous c,60,61,Boulsane_left_control_eigensolve,5.390000296756625e-05,5.36499974259641e-05,5.8750003518071026e-05,5.1000060921069235e-06,0.0,,,left_control
0,40,fixed continuous c,60,61,Boulsane_right_control_assembly,0.01412010000058217,0.014037949997145915,0.014718549999088282,0.0006806000019423664,0.015625,0,29768,right_control
