n,c,M_n_c,m_knee,parameter_path,P,matched_total_dimension,project_error,augmented_error,project_P_plus_1_error,Boulsane_error,causal_ratio_or_upper_bound,causal_ratio_is_floor_upper_bound,matched_ratio_or_upper_bound,matched_ratio_is_floor_upper_bound,reference_endpoint_absolute_value,augmented_endpoint_absolute_value,augmented_endpoint_absolute_error,project_Rayleigh_residual,augmented_Rayleigh_residual,Boulsane_Rayleigh_residual,augmented_matrix_audit_passed,Boulsane_matrix_audit_passed,case_boundary_explanation_supported
1,40,12,12,fixed continuous c,17,18,0.11509423867433838,0.0011104661122359194,0.10572994272790667,0.02495820424567602,0.009648320585168534,False,0.010502853624858909,False,4.967984069574932,5.520709403656626,0.5527253340816944,0.1528806564455607,0.018857417308356557,0.44435073565400846,True,True,True
1,40,12,12,fixed continuous c,20,21,0.09149839081844746,0.00038739320868008686,0.08590089025498973,0.016822017007234402,0.004233880019253656,False,0.004509769427652519,False,4.967984069574932,5.332703772468497,0.3647197028935647,0.14485102882274659,0.011151210874336395,0.4044845246849608,True,True,True
1,40,12,12,fixed continuous c,24,25,0.07289426584651498,0.00013286227298026088,0.06946078075145923,0.011195433541171473,0.0018226711173690065,False,0.0019127667662657206,False,4.967984069574932,5.206887769915521,0.23890370034058872,0.13490902893337703,0.006533169875202595,0.369915342123144,True,True,True
1,40,12,12,fixed continuous c,32,33,0.052550951477852936,2.762969575592633e-05,0.05081303438689555,0.006111935491154907,0.0005257696574260998,False,0.0005437521315013595,False,4.967984069574932,5.096141395538004,0.1281573259630724,0.11939900610211568,0.0029797726486596545,0.32156557725763824,True,True,True
1,40,12,12,fixed continuous c,44,45,0.03738837230335179,5.267163739941516e-06,0.03651912512789646,0.0032045313203400982,0.00014087705389275064,False,0.00014423028266682112,False,4.967984069574932,5.034257553485591,0.0662734839106589,0.1035363569748784,0.0013010638117727368,0.2702408914354301,True,True,True
1,40,12,12,fixed continuous c,60,61,0.02712071508503089,1.0882192609251717e-06,0.02666526968187033,0.001725750025222017,4.012502094850027e-05,False,4.081036021417215e-05,False,4.967984069574932,5.003321134651228,0.03533706507629564,0.08971242804768455,0.0005913862324903605,0.23216502859493185,True,True,True
1,40,12,12,fixed continuous c,76,77,0.021311034085726765,3.3106590519027534e-07,0.02103008809461998,0.0010794739512915985,1.553495263808007e-05,False,1.5742487796566587e-05,False,4.967984069574932,4.989957199239684,0.021973129664751845,0.08026129791291874,0.0003261901010068005,0.2183626227022623,True,True,True
1,40,12,12,fixed continuous c,108,109,0.014938757218589394,5.695821436724202e-08,0.01480068422243852,0.0005379581983820936,3.8127813133186695e-06,False,3.848350083767799e-06,False,4.967984069574932,4.978860333592247,0.01087626401731523,0.06785221184535632,0.00013529824800368793,0.1680081949431023,True,True,True
1,80,25,24,fixed continuous c,30,31,0.08809493997029427,0.0018300807090734228,0.08400744430676566,0.04822307646357693,0.02077395943161467,False,0.02178474448515076,False,3.937882132896854,4.486469104076957,0.5485869711801032,0.22121761696257541,0.037462712729666066,0.47900485031809176,True,True,True
1,80,25,24,fixed continuous c,33,34,0.07717422467106749,0.0008774091891953217,0.07426072157077312,0.0359130705102747,0.01136919992309636,False,0.011815252675118695,False,3.937882132896854,4.357826665568594,0.41994453267174014,0.21256711647092014,0.02596090553258797,0.4471591670155703,True,True,True
1,80,25,24,fixed continuous c,37,38,0.06693298928580038,0.0004020275337297541,0.06485566659912578,0.026336684332885496,0.006006418330027327,False,0.0061988035095636995,False,3.937882132896854,4.251137226755638,0.31325509385878414,0.2025628504862101,0.017580638327038028,0.41955991939058657,True,True,True
1,80,25,24,fixed continuous c,45,46,0.05359920575778654,0.00012121690937594298,0.052333379814382464,0.01639327871112517,0.002261543014717777,False,0.002316244618747702,False,3.937882132896854,4.135329754882331,0.19744762198547727,0.1863365453621732,0.00965617126112826,0.3806469751486159,True,True,True
1,80,25,24,fixed continuous c,57,58,0.04172376633857067,3.208146303856907e-05,0.04098020538451996,0.009697290944714276,0.0007689014164790782,False,0.0007828526660017096,False,3.937882132896854,4.055187712308732,0.11730557941187802,0.16812991410907016,0.004968084305887954,0.3379804748123206,True,True,True
1,80,25,24,fixed continuous c,73,74,0.032417543471566446,8.560769663490397e-06,0.03197607612520814,0.005751420856315748,0.00026407829670989976,False,0.00026772420824772706,False,3.937882132896854,4.007455046784977,0.06957291388812292,0.1506173547682386,0.0025664256593687903,0.2940315184571236,True,True,True
1,80,25,24,fixed continuous c,89,90,0.026577050641116484,3.0564006975319913e-06,0.02628250804580179,0.0038248339942407172,0.00011500150030957664,False,0.00011629029817876162,False,3.937882132896854,3.9840919450620054,0.0462098121651513,0.13768607259232346,0.0015334862855906734,0.2714782568003839,True,True,True
1,80,25,24,fixed continuous c,121,122,0.01958800734672006,6.364336662123549e-07,0.01942896948755557,0.0020522433011758157,3.24909856805278e-05,False,3.275694403761334e-05,False,3.937882132896854,3.9626122497094114,0.024730116812557323,0.11949234638588581,0.00069976534448005,0.2316945678907469,True,True,True
2,10,2,2,fixed continuous c,7,8,0.06142188348634792,3.363978023407377e-05,0.05409384916826912,0.011807014968542417,0.000547683957649244,False,0.0006218781016937968,False,2.8677624579988428,2.9436448190089703,0.07588236101012757,0.11754253651035097,0.00309309159649317,0.3202510445290382,True,True,True
2,10,2,2,fixed continuous c,10,11,0.043778546191856754,6.532023861471892e-06,0.03999619048040173,0.006583400729947619,0.00014920604793146176,False,0.00016331615043869253,False,2.8677624579988428,2.9072070362611417,0.03944457826229897,0.10305707543197008,0.0013630548064159362,0.18573130478951397,True,True,True
2,10,2,2,fixed continuous c,14,15,0.03180521977079065,1.3643632200133204e-06,0.029781084980884387,0.0036955841113002763,4.2897462424275635e-05,False,4.581307970777645e-05,False,2.8677624579988428,2.8888650701437073,0.02110261214486453,0.08994349534674102,0.0006229581083797295,0.09599375611734508,True,True,True
