record_type,n,c,M_n_c,m_knee,parameter_path,path,N,epsilon_over_pi,omega,h,e_lambda,e_Rayleigh,Gamma,next_zero_normalized,half_mesh_scaled,matrix_audit_passed,Rayleigh_fit_slope,Rayleigh_fit_reported,Rayleigh_fit_compatible,oracle_deviation_from_half_mesh,oracle_absolute_deviation_over_h,oracle_O_h_support_case
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,44,0.5165111562897685,0.2876285447460937,0.022590293078426273,-2.220446049250313e-16,,,,,True,,,,0.05187132730220978,2.2961777043852027,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,60,0.5119646066743547,0.21128336498405403,0.016594156681490876,1.1102230246251565e-15,,,,,True,,,,0.03758792043124415,2.2651298979941363,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,76,0.5093998455478372,0.16696128684576408,0.013113108804713764,4.440892098500626e-16,,,,,True,,,,0.02953048571796435,2.251982055342135,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,108,0.506589887092524,0.11761299368699125,0.00923730292334386,1.1102230246251565e-16,,,,,True,,,,0.020702740877859505,2.241210562180547,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,30,0.4922594407004391,0.8420148801770897,0.033065847022220436,-7.216449660063518e-16,,,,,True,,,,-0.02431768423017666,0.7354320672274035,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,33,0.49342529586692513,0.7660009297076816,0.030080786167657553,2.6645352591003757e-15,,,,,True,,,,-0.02065504220399439,0.6866523397650559,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,37,0.4944648759189952,0.6837138179523997,0.026849378845463602,-1.8318679906315083e-15,,,,,True,,,,-0.017389105149592687,0.647653908482531,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,45,0.4957231703223283,0.5628074838860992,0.022101398209524066,-2.942091015256665e-15,,,,,True,,,,-0.013436056696028098,0.6079279043186576,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,57,0.4967632914027873,0.4448232556647489,0.017468168401778367,-2.7755575615628914e-16,,,,,True,,,,-0.0101684199508143,0.5821113992568959,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,73,0.49753440939708093,0.34765307224841135,0.013652304222169133,-1.4432899320127035e-15,,,,,True,,,,-0.007745881324890513,0.5673680573505281,True
oracle_diagnostic,0,80,25,25,fixed continuous c,oracle,89,0.49800158772729863,0.2853257184963336,0.011204714763853887,6.106226635438361e-16,,,,,True,,,,-0.006278197314762313,0.56031745984428,True
