method,n,c,parameter_path,dimension_old,dimension_new,block_defect_norm_2,relative_block_defect,raw_negative_increment_count,significant_negative_increment_count,minimum_increment
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,13,17,0.9132422763161386,0.9132422763161386,5,4,-0.0031341109685589785
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,17,25,0.9806251340806617,0.9806251340806617,5,4,-0.0024072409712833087
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,25,37,0.9828293254472562,0.9828293254472562,5,4,-0.0011538919187360497
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,37,53,0.9767329682839101,0.9767329682839101,5,4,-0.0005088762619198661
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,53,69,0.9244965627438082,0.9244965627438082,5,4,-0.00020174848446807836
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,69,101,0.9824077220640042,0.9824077220640042,5,4,-0.00015686207413123654
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,16,19,0.9727410639894011,0.9727410639894011,7,5,-0.009764201356435631
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,19,23,0.9863492755638634,0.9863492755638632,9,6,-0.005780111868309623
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,23,31,0.9992546707449236,0.9992546707449229,7,6,-0.004651589490223151
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,31,43,0.9996609118715707,0.9996609118715698,12,6,-0.002430062737065586
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,43,59,0.9995841725775203,0.9995841725775196,9,6,-0.0011685589417060882
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,59,75,0.9973680547564823,0.997368054756482,15,6,-0.0004946086874801914
Boulsane_large_N,2,40,fixed continuous c; Boulsane large-N offset,75,107,0.999880294536311,0.999880294536311,10,6,-0.00040554326089470294
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,29,32,0.9927879843441744,0.9927879843441735,13,5,-0.009244972614251279
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,32,36,0.9973979803899633,0.997397980389962,20,5,-0.007523623885714481
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,36,44,0.9999883438174267,0.9999883438174261,8,5,-0.008101771532616042
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,44,56,0.9999990050143361,0.999999005014335,21,6,-0.005601319526405746
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,56,72,0.9999995566980028,0.9999995566980019,12,6,-0.0033410869043294378
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,72,88,0.999989078055169,0.9999890780551683,11,6,-0.0016368277493841177
Boulsane_large_N,2,80,fixed continuous c; Boulsane large-N offset,88,120,0.9999999836129192,0.999999983612919,23,6,-0.0015050758882118043
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,6,9,0.6002862809278972,0.6002862809278972,1,1,-0.0003857109569719297
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,9,13,0.6003255244763808,0.6003255244763808,2,1,-0.00016356170993214736
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,13,21,0.7290968675139786,0.7290968675139786,1,1,-9.660467041228138e-05
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,21,33,0.7251153247991762,0.7251153247991762,1,1,-3.779271069537238e-05
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,33,49,0.6838964476893612,0.6838964476893612,1,1,-1.4769119625501759e-05
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,49,65,0.5684767475480137,0.5684767475480137,1,1,-5.475476055893935e-06
Boulsane_large_N,4,10,fixed continuous c; Boulsane large-N offset,65,97,0.6995625662660657,0.6995625662660657,6,1,-4.072999144622003e-06
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,9,12,0.8835990654310475,0.8835990654310475,4,4,-0.003016950388896711
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,12,16,0.8997766059739281,0.8997766059739281,4,4,-0.0016980327469074963
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,16,24,0.9789762865412739,0.9789762865412739,4,4,-0.0012456385146478732
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,24,36,0.9817753702806842,0.9817753702806842,4,4,-0.0005788014943891584
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,36,52,0.9744847721754565,0.9744847721754565,4,4,-0.00025146132835762725
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,52,68,0.9136083334148791,0.9136083334148791,4,4,-9.904872068466908e-05
Boulsane_large_N,4,20,fixed continuous c; Boulsane large-N offset,68,100,0.9813678279690745,0.9813678279690745,5,4,-7.6758038731084e-05
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,16,19,0.9628731342240573,0.9628731342240571,7,5,-0.004009233349567931
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,19,23,0.9810315132383903,0.9810315132383903,9,5,-0.002093266146722783
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,23,31,0.9990561249869563,0.9990561249869561,11,6,-0.00194374977545142
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,31,43,0.9995598684717454,0.9995598684717452,8,6,-0.001162391514004324
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,43,59,0.9994986663963875,0.9994986663963875,13,6,-0.0006028132675208742
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,59,75,0.997051764500815,0.9970517645008148,9,6,-0.00026530503137001116
Boulsane_large_N,4,40,fixed continuous c; Boulsane large-N offset,75,107,0.9998495522205014,0.9998495522205014,8,6,-0.00022283468851436172
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,28,31,0.9927658176509676,0.9927658176509658,16,5,-0.00870229833961722
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,31,35,0.9973883043051703,0.9973883043051697,14,5,-0.006957046450913662
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,35,43,0.999988326104029,0.9999883261040279,21,5,-0.007351501674483174
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,43,55,0.9999989597974591,0.9999989597974585,10,6,-0.004990479601277409
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,55,71,0.9999995375258153,0.9999995375258148,16,6,-0.002938772506052789
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,71,87,0.9999890488144844,0.9999890488144837,14,6,-0.0014290396796555749
Boulsane_large_N,4,80,fixed continuous c; Boulsane large-N offset,87,119,0.9999999832516614,0.9999999832516612,10,6,-0.001307691655420662
